child_id,lambda,rep,setting,score,num_runner_success,num_runner_failed,drivable_area_compliance,driving_direction_compliance,ego_is_comfortable,ego_is_making_progress,ego_progress_along_expert_route,no_ego_at_fault_collisions,speed_limit_compliance,time_to_collision_within_bound
j002__lambda0-rep1-four-settings__sna__h304e84,0.0,1,test14-hard_NR,0.9297956625740075,1066,0,1.0,1.0,1.0,1.0,0.899837614992903,1.0,0.8443856315549012,1.0
j002__lambda0-rep1-four-settings__sna__h304e84,0.0,1,test14-random_NR,0.8230570104282016,1066,0,1.0,1.0,0.0,1.0,0.8337824333702452,1.0,1.0,1.0
j002__lambda0-rep1-four-settings__sna__h304e84,0.0,1,test14-hard_R,0.9225870475483693,1066,0,1.0,1.0,1.0,1.0,0.9124902927251984,1.0,0.799735324286979,1.0
j002__lambda0-rep1-four-settings__sna__h304e84,0.0,1,test14-random_R,0.904750839431962,1066,0,1.0,1.0,1.0,1.0,0.6952026861822783,1.0,1.0,1.0
j003__lambda0-rep2-four-settings__sna__h7ed98d,0.0,2,test14-hard_NR,0.9297956625740075,1065,1,1.0,1.0,1.0,1.0,0.899837614992903,1.0,0.8443856315549012,1.0
j003__lambda0-rep2-four-settings__sna__h7ed98d,0.0,2,test14-random_NR,0.8230570104282016,1065,1,1.0,1.0,0.0,1.0,0.8337824333702452,1.0,1.0,1.0
j003__lambda0-rep2-four-settings__sna__h7ed98d,0.0,2,test14-hard_R,0.9225870475483693,1065,1,1.0,1.0,1.0,1.0,0.9124902927251984,1.0,0.799735324286979,1.0
j003__lambda0-rep2-four-settings__sna__h7ed98d,0.0,2,test14-random_R,0.904750839431962,1065,1,1.0,1.0,1.0,1.0,0.6952026861822783,1.0,1.0,1.0
j004__lambda0-rep3-four-settings__sna__h6e11fe,0.0,3,test14-hard_NR,0.9297956625740075,1066,0,1.0,1.0,1.0,1.0,0.899837614992903,1.0,0.8443856315549012,1.0
j004__lambda0-rep3-four-settings__sna__h6e11fe,0.0,3,test14-random_NR,0.8230570104282016,1066,0,1.0,1.0,0.0,1.0,0.8337824333702452,1.0,1.0,1.0
j004__lambda0-rep3-four-settings__sna__h6e11fe,0.0,3,test14-hard_R,0.9229294362523519,1066,0,1.0,1.0,1.0,1.0,0.7533741960075263,1.0,1.0,1.0
j004__lambda0-rep3-four-settings__sna__h6e11fe,0.0,3,test14-random_R,0.904750839431962,1066,0,1.0,1.0,1.0,1.0,0.6952026861822783,1.0,1.0,1.0
j005__lambda0.2-four-settings__sna__h3a951c,0.2,,test14-hard_NR,0.9301955856815372,1065,1,1.0,1.0,1.0,1.0,0.8951013524974806,1.0,0.851905652104298,1.0
j005__lambda0.2-four-settings__sna__h3a951c,0.2,,test14-random_NR,0.8230380418535526,1065,1,1.0,1.0,0.0,1.0,0.8337217339313682,1.0,1.0,1.0
j005__lambda0.2-four-settings__sna__h3a951c,0.2,,test14-hard_R,0.9225870475483693,1065,1,1.0,1.0,1.0,1.0,0.9124902927251984,1.0,0.799735324286979,1.0
j005__lambda0.2-four-settings__sna__h3a951c,0.2,,test14-random_R,0.9049070154276331,1065,1,1.0,1.0,1.0,1.0,0.6957024493684261,1.0,1.0,1.0
j006__lambda0.3-four-settings__sna__ha2672f,0.3,,test14-hard_NR,0.9299194197054625,1066,0,1.0,1.0,1.0,1.0,0.8923049644276065,1.0,0.8542964732873418,1.0
j006__lambda0.3-four-settings__sna__ha2672f,0.3,,test14-random_NR,0.822996642074446,1066,0,1.0,1.0,0.0,1.0,0.8335892546382272,1.0,1.0,1.0
j006__lambda0.3-four-settings__sna__ha2672f,0.3,,test14-hard_R,0.9225870475483693,1066,0,1.0,1.0,1.0,1.0,0.9124902927251984,1.0,0.799735324286979,1.0
j006__lambda0.3-four-settings__sna__ha2672f,0.3,,test14-random_R,0.9049297544755548,1066,0,1.0,1.0,1.0,1.0,0.6957752143217751,1.0,1.0,1.0
